"","YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","ORIGIN_AIRPORT_ID","OP_CARRIER","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","AIRLINE_NAME","AIRPORT_NAME"
"1",2019,1,31,4,12391,"WN","ISP","Islip, NY","NY","FLL","Fort Lauderdale, FL","FL",1550,1546,-4,0,0,1900,1854,-6,0,0,0,0,1092,0,0,0,0,0,"Southwest Airlines Co.","Islip, NY: Long Island MacArthur"
"2",2019,1,28,1,14843,"WN","SJU","San Juan, PR","PR","BWI","Baltimore, MD","MD",1610,1607,-3,0,0,1930,1902,-28,0,0,0,0,1565,0,0,0,0,0,"Southwest Airlines Co.","San Juan, PR: Luis Munoz Marin International"
"3",2019,1,25,5,11996,"OO","GSP","Greer, SC","SC","LGA","New York, NY","NY",1215,1420,125,125,1,1414,1559,105,105,1,0,0,610,0,0,0,0,105,"SkyWest Airlines Inc.","Greer, SC: Greenville-Spartanburg International"
"4",2019,1,29,2,15016,"WN","STL","St. Louis, MO","MO","BOS","Boston, MA","MA",1940,1932,-8,0,0,2310,2246,-24,0,0,0,0,1047,0,0,0,0,0,"Southwest Airlines Co.","St. Louis, MO: St Louis Lambert International"
"5",2019,1,22,2,10631,"OO","BJI","Bemidji, MN","MN","MSP","Minneapolis, MN","MN",1319,1315,-4,0,0,1433,1433,0,0,0,0,0,199,0,0,0,0,0,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional"
"6",2019,1,29,2,11292,"WN","DEN","Denver, CO","CO","DAL","Dallas, TX","TX",1910,1907,-3,0,0,2210,2144,-26,0,0,0,0,651,0,0,0,0,0,"Southwest Airlines Co.","Denver, CO: Denver International"
"7",2019,1,4,5,12892,"B6","LAX","Los Angeles, CA","CA","JFK","New York, NY","NY",2114,2114,0,0,0,525,534,9,9,0,0,0,2475,0,0,0,0,0,"JetBlue Airways","Los Angeles, CA: Los Angeles International"
"8",2019,1,30,3,12478,"DL","JFK","New York, NY","NY","RSW","Fort Myers, FL","FL",1029,1023,-6,0,0,1350,1343,-7,0,0,0,0,1074,0,0,0,0,0,"Delta Air Lines Inc.","New York, NY: John F. Kennedy International"
"9",2019,1,22,2,14570,"WN","RNO","Reno, NV","NV","SAN","San Diego, CA","CA",1100,1057,-3,0,0,1230,1209,-21,0,0,0,0,488,0,0,0,0,0,"Southwest Airlines Co.","Reno, NV: Reno/Tahoe International"
"10",2019,1,4,5,11986,"UA","GRR","Grand Rapids, MI","MI","DEN","Denver, CO","CO",913,907,-6,0,0,1020,951,-29,0,0,0,0,1015,0,0,0,0,0,"United Air Lines Inc.","Grand Rapids, MI: Gerald R. Ford International"
